episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max
1,6.0,420,,,,,,2.1785714285714284,0.0,1.0
2,7.0,1131,,,,,,1.9015471167369902,0.0,1.0
3,10.0,1941,,,,,,2.388888888888889,0.0,1.0
4,11.0,2827,,,,,,2.018058690744921,0.0,1.0
5,6.0,3345,,,,,,2.0733590733590734,0.0,1.0
6,7.0,3990,,,,,,1.9503875968992248,0.0,1.0
7,8.0,4451,,,,,,1.9175704989154012,0.0,1.0
8,11.0,5247,,,,,,1.6193467336683418,0.0,1.0
9,5.0,5629,,,,,,2.264397905759162,0.0,1.0
10,13.0,7091,,,,,,1.8577291381668946,0.0,1.0
11,4.0,7606,,,,,,2.1339805825242717,0.0,1.0
12,8.0,8375,,,,,,2.306892067620286,0.0,1.0
13,12.0,9144,,,,,,1.9557867360208063,0.0,1.0
14,23.0,10442,,,,,,1.9221879815100154,0.0,1.0
15,8.0,11223,,,,,,2.464788732394366,0.0,1.0
16,9.0,11706,,,,,,1.9875776397515528,0.0,1.0
17,10.0,12439,,,,,,2.1473396998635743,0.0,1.0
18,3.0,12847,,,,,,2.3161764705882355,0.0,1.0
19,14.0,13938,,,,,,1.8634280476626948,0.0,1.0
20,8.0,14598,,,,,,2.481818181818182,0.0,1.0
21,2.0,15085,,,,,,2.1129363449691994,0.0,1.0
22,8.0,15750,,,,,,2.2015037593984963,0.0,1.0
23,8.0,16292,,,,,,2.011070110701107,0.0,1.0
24,17.0,17384,,,,,,2.068681318681319,0.0,1.0
25,6.0,17871,,,,,,2.4763860369609856,0.0,1.0
26,11.0,18567,,,,,,2.0948275862068964,0.0,1.0
27,5.0,19074,,,,,,2.0808678500986195,0.0,1.0
28,11.0,19885,,,,,,2.0468557336621456,0.0,1.0
29,15.0,20778,,,,,,1.6606942889137737,0.0,1.0
30,8.0,21372,,,,,,1.936026936026936,0.0,1.0
31,18.0,22337,,,,,,1.583419689119171,0.0,1.0
32,10.0,22941,,,,,,2.456953642384106,0.0,1.0
33,15.0,23895,,,,,,2.1834381551362685,0.0,1.0
34,9.0,24642,,,,,,2.247657295850067,0.0,1.0
35,8.0,25338,,,,,,2.514367816091954,0.0,1.0
36,4.0,25834,,,,,,2.157258064516129,0.0,1.0
37,11.0,26796,,,,,,2.087318087318087,0.0,1.0
38,10.0,27825,,,,,,1.445092322643343,0.0,1.0
39,8.0,28469,,,,,,1.858695652173913,0.0,1.0
40,10.0,29187,,,,,,2.2395543175487465,0.0,1.0
41,7.0,29750,,,,,,2.060390763765542,0.0,1.0
42,20.0,30780,,,,,,1.7359223300970874,0.0,1.0
43,23.0,31738,,,,,,1.7766179540709812,0.0,1.0
44,5.0,32223,,,,,,2.181443298969072,0.0,1.0
45,10.0,33014,,,,,,2.1352718078381794,0.0,1.0
46,3.0,33400,,,,,,2.295336787564767,0.0,1.0
47,6.0,33758,,,,,,2.1620111731843576,0.0,1.0
48,4.0,34107,,,,,,2.180515759312321,0.0,1.0
49,6.0,34728,,,,,,2.2801932367149758,0.0,1.0
50,11.0,35342,,,,,,2.1026058631921822,0.0,1.0
51,9.0,36030,,,,,,2.1947674418604652,0.0,1.0
52,8.0,36581,,,,,,2.14519056261343,0.0,1.0
53,14.0,37403,,,,,,2.334549878345499,0.0,1.0
54,8.0,37920,,,,,,2.0483558994197293,0.0,1.0
55,9.0,38596,,,,,,2.205621301775148,0.0,1.0
56,7.0,39109,,,,,,2.2085769980506824,0.0,1.0
57,10.0,39678,,,,,,1.952548330404218,0.0,1.0
58,8.0,40431,,,,,,2.3280212483399736,0.0,1.0
59,5.0,41011,,,,,,1.9551724137931035,0.0,1.0
60,20.0,42334,,,,,,2.17838246409675,0.0,1.0
61,6.0,43015,,,,,,2.1365638766519823,0.0,1.0
62,8.0,43774,,,,,,2.383399209486166,0.0,1.0
63,4.0,44188,,,,,,2.2222222222222223,0.0,1.0
64,1.0,44592,,,,,,2.1014851485148514,0.0,1.0
65,18.0,45489,,,,,,2.0668896321070234,0.0,1.0
66,14.0,46213,,,,,,1.9364640883977902,0.0,1.0
67,6.0,46719,,,,,,2.144268774703557,0.0,1.0
68,12.0,47415,,,,,,1.7772988505747127,0.0,1.0
69,8.0,48043,,,,,,2.1640127388535033,0.0,1.0
70,12.0,49092,,,,,,1.7635843660629171,0.0,1.0
71,3.0,49483,,,,,,2.2710997442455243,0.0,1.0
72,8.0,50019,,0.6115419,1.5159743,2.9317932,0.969994,1.8787313432835822,0.0,1.0
73,23.0,51088,,0.08445842,0.31091857,0.49098155,0.9696688000000001,2.233863423760524,0.0,1.0
74,7.0,51586,,0.013849798,0.11872286,0.22548254,0.9691984000000002,2.070281124497992,0.0,1.0
75,10.0,52278,,0.010909796,0.095502116,0.18525729,0.9688408,1.8771676300578035,0.0,1.0
76,7.0,52896,,0.009446742,0.08147718,0.16011012,0.9684484000000001,1.9304207119741101,0.0,1.0
77,19.0,53851,,0.00829124,0.072542645,0.14351676,0.9679768000000002,2.2052356020942407,0.0,1.0
78,17.0,54794,,0.0075135715,0.07100404,0.1410955,0.9674068,2.6733828207847297,0.0,1.0
79,12.0,55593,,0.0060258196,0.067781866,0.13409208,0.9668835999999998,1.9486858573216521,0.0,1.0
80,9.0,56286,,0.0067741913,0.06670876,0.13072926,0.9664360000000002,1.8946608946608947,0.0,1.0
81,9.0,56791,,0.005858131,0.06407298,0.12673898,0.9660771999999997,2.017821782178218,0.0,1.0
82,8.0,57407,,0.0074585686,0.06759905,0.12822986,0.9657412000000001,1.8603896103896105,0.0,1.0
83,11.0,58352,,0.0068129776,0.06547392,0.12398695,0.9652732,2.1312169312169313,0.0,1.0
84,7.0,58751,,0.00628773,0.06433362,0.12158248,0.9648699999999998,2.2857142857142856,0.0,1.0
85,13.0,59524,,0.00592908,0.06363239,0.11877481,0.9645183999999999,1.7063389391979302,0.0,1.0
86,9.0,60202,,0.0066398927,0.06460682,0.12044424,0.9640828000000001,2.0530973451327434,0.0,1.0
87,4.0,60655,,0.0060160332,0.06382619,0.11645392,0.9637432,2.1788079470198674,0.0,1.0
88,7.0,61044,,0.004706194,0.060951248,0.113875724,0.9634911999999999,2.2570694087403598,0.0,1.0
89,14.0,62046,,0.0061651063,0.06353158,0.11614522,0.9630736,1.8343313373253494,0.0,1.0
90,9.0,62654,,0.0056257085,0.06210785,0.11212321,0.9625899999999998,2.133223684210526,0.0,1.0
91,12.0,63828,,0.005675455,0.069866404,0.120707355,0.962056,1.6737649063032367,0.0,1.0
92,10.0,64443,,0.0053165453,0.07188045,0.12050455,0.9615196,2.221138211382114,0.0,1.0
93,3.0,64783,,0.0052384688,0.07321852,0.124447465,0.9612328000000002,2.1558823529411764,0.0,1.0
94,10.0,65296,,0.005814499,0.07251097,0.12303624,0.9609772,1.9415204678362572,0.0,1.0
95,14.0,66130,,0.0057220184,0.07675309,0.12815917,0.9605728000000001,1.8117505995203838,0.0,1.0
96,5.0,66481,,0.006052204,0.09634549,0.15338358,0.9602164000000001,2.1054131054131053,0.0,1.0
97,9.0,66859,,0.0067500807,0.09754114,0.15191714,0.9599980000000001,2.2698412698412698,0.0,1.0
98,8.0,67495,,0.0058853873,0.09637035,0.14638315,0.9596944000000002,1.9465408805031446,0.0,1.0
99,8.0,68261,,0.0070401267,0.098424554,0.1509902,0.9592732,2.1553524804177546,0.0,1.0
100,12.0,69080,,0.0052031362,0.09413943,0.1435654,0.9587979999999999,2.58974358974359,0.0,1.0
101,5.0,69462,,0.0050434284,0.08591404,0.1317495,0.958438,2.2722513089005236,0.0,1.0
102,4.0,69982,,0.0057306974,0.08701072,0.13311519,0.9581668,2.253846153846154,0.0,1.0
103,12.0,70702,,0.0062500755,0.08826126,0.1349981,0.9577948000000002,1.9930555555555556,0.0,1.0
104,11.0,71438,,0.005441306,0.08672022,0.13318183,0.9573579999999999,1.7146739130434783,0.0,1.0
105,10.0,72191,,0.0056154714,0.08912676,0.13469952,0.9569116000000001,2.0783532536520584,0.0,1.0
106,12.0,72699,,0.0052759126,0.09942559,0.14368956,0.9565335999999998,1.7716535433070866,0.0,1.0
107,5.0,73207,,0.004938002,0.09788921,0.14340816,0.9562288,2.204724409448819,0.0,1.0
108,9.0,73915,,0.0058205305,0.09989157,0.14570211,0.955864,2.3545197740112993,0.0,1.0
109,11.0,75050,,0.0060502025,0.10016708,0.14494093,0.9553108,1.9233480176211453,0.0,1.0
110,8.0,75721,,0.0052261464,0.08845559,0.13554676,0.9547684,2.451564828614009,0.0,1.0
111,5.0,76297,,0.004480457,0.08661887,0.12736893,0.9543940000000001,2.125,0.0,1.0
112,8.0,76939,,0.005073588,0.087446906,0.12855801,0.9540292000000001,1.8130841121495327,0.0,1.0
113,6.0,77430,,0.0045112944,0.08642025,0.12882298,0.9536896,2.2362525458248474,0.0,1.0
114,9.0,78179,,0.0053522117,0.09029992,0.13095535,0.9533176,2.1121495327102804,0.0,1.0
115,17.0,79213,,0.004792851,0.09503267,0.13747153,0.9527824000000001,2.2775628626692455,0.0,1.0
116,13.0,79869,,0.0058021466,0.096677765,0.13986395,0.9522748,2.0015243902439024,0.0,1.0
